"","V1","V2"
"1","","1"
"2","à","53"
"3","â","35"
"4","aadhaar","2"
"5","abhiyan","1"
"6","ability","1"
"7","able","10"
"8","abundant","1"
"9","abuse","2"
"10","accept","1"
"11","accepting","1"
"12","access","1"
"13","accident","1"
"14","accomplish","2"
"15","accomplished","3"
"16","accomplishment","1"
"17","according","2"
"18","account","1"
"19","accountable","1"
"20","accounts","1"
"21","achieve","3"
"22","achieved","2"
"23","achievements","1"
"24","achieving","1"
"25","acknowledge","2"
"26","across","2"
"27","activities","1"
"28","address","3"
"29","adopt","1"
"30","adversities","1"
"31","affairs","1"
"32","agent","1"
"33","ahead","4"
"34","aims","2"
"35","air","1"
"36","aircraft","1"
"37","airport","1"
"38","allowed","2"
"39","alone","2"
"40","along","2"
"41","already","1"
"42","also","9"
"43","ambit","1"
"44","among","1"
"45","amounts","1"
"46","anniversary","1"
"47","announce","1"
"48","announced","1"
"49","announcements","1"
"50","another","2"
"51","answer","1"
"52","anyone","1"
"53","app","2"
"54","appeal","1"
"55","appealed","1"
"56","appreciate","1"
"57","appreciated","1"
"58","april","1"
"59","arena","1"
"60","arjuna","2"
"61","army","1"
"62","around","2"
"63","arrangements","1"
"64","ashram","1"
"65","asked","1"
"66","asking","1"
"67","aspirations","2"
"68","aspire","1"
"69","assam","1"
"70","asserted","1"
"71","assure","1"
"72","astonishingly","1"
"73","attention","1"
"74","attitude","2"
"75","attributed","1"
"76","august","1"
"77","aushadhi","1"
"78","auspicious","1"
"79","available","2"
"80","average","1"
"81","awakening","1"
"82","award","1"
"83","aware","1"
"84","away","2"
"85","back","3"
"86","badal","1"
"87","bahadur","1"
"88","bal","1"
"89","balanced","1"
"90","ballot","2"
"91","bank","2"
"92","banking","2"
"93","banks","5"
"94","battlefield","1"
"95","became","1"
"96","become","4"
"97","becomes","1"
"98","becoming","1"
"99","behalf","1"
"100","behind","1"
"101","belief","1"
"102","beliefs","1"
"103","belonging","1"
"104","belongs","1"
"105","beloved","1"
"106","benami","3"
"107","benefit","1"
"108","bengal","1"
"109","besides","2"
"110","bhagya","1"
"111","bharat","8"
"112","bhim","2"
"113","big","8"
"114","biggest","1"
"115","bihar","1"
"116","billion","1"
"117","bima","1"
"118","birth","1"
"119","birthrightâ","2"
"120","black","8"
"121","boasts","1"
"122","book","1"
"123","boon","1"
"124","borders","2"
"125","born","1"
"126","bow","3"
"127","boxes","2"
"128","brave","3"
"129","bright","1"
"130","brighter","1"
"131","bring","4"
"132","bringing","2"
"133","british","1"
"134","brother","2"
"135","brothers","9"
"136","brought","7"
"137","buddha","1"
"138","build","11"
"139","building","4"
"140","built","2"
"141","bulbs","1"
"142","bullets","2"
"143","burnt","3"
"144","business","1"
"145","businessman","1"
"146","buying","1"
"147","calamities","2"
"148","calamity","1"
"149","call","2"
"150","called","3"
"151","came","3"
"152","can","16"
"153","cancelled","1"
"154","capability","2"
"155","capable","3"
